time,corrected_accel,corrected_disp,corrected_vel
1.735,5.5553042857656,-2.1570829893807,7.6492871417816
1.74,5.45048722377,-2.1187678984962,7.6768016205555
1.745,5.3456701617744,-2.080316545431,7.7037920140194
1.75,5.2408530997788,-2.0417315506119,7.7302583221732
1.755,5.1360360377833,-2.0030155344652,7.7562005450171
1.76,5.0312189757877,-1.9641711174177,7.7816186825511
1.765,4.9264019137921,-1.9252009198957,7.806512734775
1.77,4.8215848517966,-1.8861075623258,7.830882701689
1.775,4.716767789801,-1.8468936651347,7.854728583293
1.78,4.6119507278054,-1.8075618487488,7.878050379587
1.785,4.5071336658099,-1.7681147335948,7.900848090571
1.79,4.4023166038143,-1.7285549400991,7.9231217162451
1.795,4.2974995418187,-1.6888850886883,7.9448712566092
1.8,4.1926824798232,-1.6491077997889,7.9660967116633
1.805,4.0878654178276,-1.6092256938275,7.9867980814074
1.81,3.983048355832,-1.5692413912307,8.0069753658416
1.815,3.8782312938365,-1.5291575124251,8.0266285649657
1.82,3.7734142318409,-1.488976677837,8.0457576787799
1.825,3.6685971698453,-1.4487015078932,8.0643627072841
1.83,3.5637801078498,-1.4083346230201,8.0824436504784
1.835,3.4589630458542,-1.3678786436443,8.1000005083626
1.84,3.3541459838586,-1.3273361901924,8.1170332809369
1.845,3.249328921863,-1.2867098830909,8.1335419682012
1.85,3.1445118598675,-1.2460023427663,8.1495265701555
1.855,3.0396947978719,-1.2052161896453,8.1649870867999
1.86,2.9348777358763,-1.1643540441543,8.1799235181343
1.865,2.8300606738808,-1.1234185267199,8.1943358641587
1.87,2.7252436118852,-1.0824122577686,8.2082241248731
1.875,2.6204265498896,-1.0413378577271,8.2215883002775
1.88,2.5156094878941,-1.0001979470218,8.234428390372
1.885,2.4107924258985,-0.95899514607928,8.2467443951565
1.89,2.3059753639029,-0.91773207532615,8.258536314631
1.895,2.2011583019074,-0.87641135518891,8.2698041487955
1.9,2.0963412399118,-0.83503560609413,8.28054789765
