time,acceleration,velocity,displacement
2.74000,-0.00002,0.00570,0.00930
2.74500,-0.00002,0.00560,0.00933
2.75000,-0.00003,0.00547,0.00936
2.75500,0.00000,0.00541,0.00938
2.76000,-0.00001,0.00539,0.00941
2.76500,0.00000,0.00535,0.00944
2.77000,0.00001,0.00535,0.00946
2.77500,0.00000,0.00537,0.00949
2.78000,0.00000,0.00539,0.00952
2.78500,-0.00001,0.00536,0.00954
2.79000,0.00001,0.00534,0.00957
2.79500,-0.00001,0.00534,0.00960
2.80000,-0.00001,0.00528,0.00962
2.80500,0.00000,0.00526,0.00965
2.81000,0.00001,0.00529,0.00968
2.81500,0.00001,0.00533,0.00970
2.82000,0.00000,0.00534,0.00973
2.82500,0.00001,0.00535,0.00976
2.83000,0.00000,0.00538,0.00978
2.83500,0.00000,0.00538,0.00981
2.84000,0.00001,0.00541,0.00984
2.84500,0.00002,0.00548,0.00986
2.85000,0.00002,0.00558,0.00989
2.85500,0.00003,0.00572,0.00992
2.86000,0.00003,0.00586,0.00995
2.86500,0.00002,0.00598,0.00998
2.87000,0.00004,0.00613,0.01001
2.87500,0.00003,0.00631,0.01004
2.88000,0.00004,0.00648,0.01007
2.88500,0.00004,0.00665,0.01010
2.89000,0.00002,0.00680,0.01014
2.89500,0.00003,0.00692,0.01017
2.90000,0.00002,0.00705,0.01021
2.90500,0.00002,0.00717,0.01024
2.91000,0.00001,0.00724,0.01028
2.91500,-0.00002,0.00721,0.01032
2.92000,0.00000,0.00716,0.01035
2.92500,-0.00001,0.00713,0.01039
2.93000,0.00000,0.00710,0.01042
2.93500,-0.00001,0.00707,0.01046
2.94000,-0.00003,0.00700,0.01049
2.94500,-0.00001,0.00690,0.01053
2.95000,-0.00002,0.00682,0.01056
2.95500,-0.00002,0.00673,0.01060
2.96000,-0.00003,0.00660,0.01063
2.96500,-0.00002,0.00646,0.01066
2.97000,0.00000,0.00641,0.01069
2.97500,-0.00001,0.00639,0.01073
2.98000,-0.00001,0.00633,0.01076
2.98500,-0.00001,0.00628,0.01079
2.99000,-0.00002,0.00622,0.01082
2.99500,0.00001,0.00619,0.01085
3.00000,-0.00001,0.00618,0.01088
3.00500,-0.00003,0.00607,0.01091
3.01000,-0.00003,0.00591,0.01094
3.01500,-0.00001,0.00582,0.01097
3.02000,0.00001,0.00583,0.01100
3.02500,-0.00002,0.00581,0.01103
3.03000,0.00000,0.00575,0.01106
3.03500,0.00001,0.00577,0.01109
3.04000,-0.00001,0.00576,0.01112
3.04500,-0.00001,0.00572,0.01115
3.05000,-0.00003,0.00563,0.01117
3.05500,-0.00001,0.00552,0.01120
3.06000,0.00001,0.00550,0.01123
3.06500,0.00001,0.00555,0.01126
3.07000,0.00001,0.00560,0.01129
3.07500,-0.00001,0.00561,0.01131
3.08000,0.00003,0.00567,0.01134
3.08500,0.00005,0.00586,0.01137
3.09000,0.00003,0.00604,0.01140
3.09500,0.00003,0.00618,0.01143
3.10000,0.00004,0.00635,0.01146
3.10500,0.00006,0.00660,0.01149
3.11000,0.00004,0.00684,0.01153
3.11500,0.00002,0.00699,0.01156
3.12000,0.00004,0.00713,0.01160
3.12500,0.00002,0.00728,0.01163
3.13000,0.00003,0.00741,0.01167
3.13500,0.00004,0.00758,0.01171
3.14000,0.00000,0.00767,0.01175
3.14500,-0.00001,0.00765,0.01178
3.15000,0.00000,0.00764,0.01182
3.15500,-0.00001,0.00763,0.01186
3.16000,-0.00002,0.00756,0.01190
3.16500,-0.00002,0.00745,0.01194
3.17000,-0.00002,0.00736,0.01197
3.17500,-0.00001,0.00730,0.01201
3.18000,-0.00001,0.00727,0.01205
3.18500,-0.00001,0.00722,0.01208
3.19000,0.00001,0.00722,0.01212
3.19500,0.00002,0.00730,0.01216
3.20000,0.00003,0.00742,0.01219
3.20500,0.00001,0.00751,0.01223
3.21000,-0.00001,0.00752,0.01227
3.21500,0.00001,0.00752,0.01230
3.22000,0.00001,0.00756,0.01234
3.22500,-0.00001,0.00757,0.01238
3.23000,-0.00002,0.00750,0.01242
3.23500,-0.00003,0.00738,0.01245
3.24000,-0.00002,0.00725,0.01249
3.24500,-0.00001,0.00719,0.01253
3.25000,-0.00002,0.00713,0.01256
3.25500,-0.00004,0.00699,0.01260
3.26000,-0.00002,0.00686,0.01263
3.26500,0.00002,0.00685,0.01267
3.27000,0.00000,0.00688,0.01270
3.27500,-0.00002,0.00682,0.01274
